id	itemid	消耗贡献	官职需求	类型	购买次数
5	3015	200000	12	0	0
6	3001	200000	12	0	0
7	3025	200000	12	0	0
8	3124	200000	12	0	0
9	3123	200000	12	0	0
10	3011	200000	12	0	0
11	3007	200000	12	0	0
12	3021	200000	12	0	0
13	3113	200000	12	0	0
14	3103	200000	12	0	0
15	3017	200000	12	0	0
16	3003	200000	12	0	0
17	3027	200000	12	0	0
18	3128	200000	12	0	0
19	3125	200000	12	0	0
20	3018	400000	14	0	0
21	3004	400000	14	0	0
22	3028	400000	14	0	0
23	3130	400000	14	0	0
24	3129	400000	14	0	0
25	3016	400000	14	0	0
26	3002	400000	14	0	0
27	3026	400000	14	0	0
28	3126	400000	14	0	0
29	3127	400000	14	0	0
30	3012	400000	14	0	0
31	3008	400000	14	0	0
32	3022	400000	14	0	0
33	3114	400000	14	0	0
34	3106	400000	14	0	0
35	3013	300000	14	0	0
36	3009	300000	14	0	0
37	3023	300000	14	0	0
38	3115	300000	14	0	0
39	3105	300000	14	0	0
40	3550	50000	5	1	3
41	3551	150000	8	1	3
42	3552	100000	5	1	3
43	3553	300000	8	1	3
44	3554	100000	5	1	1
45	3555	300000	8	1	1
46	3556	100000	5	1	1
47	3557	300000	8	1	1
48	3558	100000	5	1	1
49	3559	300000	8	1	1
50	6072	40000	6	2	99
51	6073	200000	9	2	50
52	6074	1000000	12	2	30
60	6827	100000	12	2	0
61	6828	250000	12	2	0
62	6829	500000	12	2	0
