homeid	chengchiid	sceneid	名字	icon	价格
1	1001	2	不耐	UI_StateMask_01_Normal.img	0
2	1002	2	乐浪	UI_StateMask_01_Normal.img	0
3	1003	2	带方	UI_StateMask_01_Normal.img	0
4	1004	2	海冥	UI_StateMask_01_Normal.img	0
5	1005	2	安平	UI_StateMask_01_Normal.img	0
6	1006	2	襄平	UI_StateMask_01_Normal.img	0
7	1007	2	安市	UI_StateMask_01_Normal.img	0
8	1008	2	平郭	UI_StateMask_01_Normal.img	0
9	1009	2	北丰	UI_StateMask_01_Normal.img	0
10	1010	2	东沓	UI_StateMask_01_Normal.img	0
11	1011	2	玄菟	UI_StateMask_01_Normal.img	0
12	1012	2	昌黎	UI_StateMask_01_Normal.img	0
13	1013	2	柳城	UI_StateMask_01_Normal.img	0
14	2001	2	辽西	UI_StateMask_01_Normal.img	0
15	2002	2	北平	UI_StateMask_01_Normal.img	0
16	2003	2	蓟	UI_StateMask_01_Normal.img	0
17	2004	2	涿县	UI_StateMask_01_Normal.img	0
18	2005	2	代县	UI_StateMask_01_Normal.img	0
19	2006	2	易京	UI_StateMask_01_Normal.img	0
20	3001	2	河间	UI_StateMask_01_Normal.img	0
21	3002	2	南皮	UI_StateMask_01_Normal.img	0
22	3003	2	灵丘	UI_StateMask_01_Normal.img	0
23	3004	2	中山	UI_StateMask_01_Normal.img	0
24	3005	2	常山	UI_StateMask_01_Normal.img	0
25	3006	2	巨鹿	UI_StateMask_01_Normal.img	0
26	3007	2	邯郸	UI_StateMask_01_Normal.img	0
27	3008	2	临水	UI_StateMask_01_Normal.img	0
28	3009	2	邺	UI_StateMask_01_Normal.img	0
29	3010	2	黎阳	UI_StateMask_01_Normal.img	0
30	3011	2	馆陶	UI_StateMask_01_Normal.img	0
31	3012	2	界桥	UI_StateMask_01_Normal.img	0
32	4001	2	东莱	UI_StateMask_01_Normal.img	0
33	4002	2	即墨	UI_StateMask_01_Normal.img	0
34	4003	2	北海	UI_StateMask_01_Normal.img	0
35	4004	2	临淄	UI_StateMask_01_Normal.img	0
36	4005	2	济南	UI_StateMask_01_Normal.img	0
37	4006	2	平原	UI_StateMask_01_Normal.img	0
38	5001	2	琅琊	UI_StateMask_01_Normal.img	0
