id	脚本	开始时间	结束时间	开启	仅显示	活动显示	删除标记	条件	条件2	开服天数	前置id	奖励1	奖励2	奖励3	奖励4	奖励5	奖励6	次数	是否累计次数	刷新	标题	标题显示	内容	失败提示	激活码类型	提示跳转链接	TAB_VERSION	活动链接	官网链接
1				1	1	1															激活码	激活码		激活码错误或已被领取！			20151344	http://www.quegame.com/activity.php 	
2		2012|1|1	2017|11|1	0	0	0															每周特惠	每周特惠		领取条件不满足，请前往充值！					
3	LevelNotLessInServerDay.cfg	2012|1|1	2012|1|1	1	0	1	0	1				6800|0|1						1	0		冲级目标	新手成长礼包	亲爱的玩家，这是一份新手成长礼包，点击领取即可获得。谢谢您的支持。	已领取					
10		2012|1|1	2017|11|1	1	0	0	0	-1				10|6049|0|1	10|7201|0|1	10|7209|0|1	10|7213|0|1	10|7205|0|1		1	0		新手礼包	新手礼包	请输入正确的激活码！	激活码错误或已被领取！	102			http://www.quegame.com/	http://www.quegame.com/
11		2012|1|1	2017|11|1	1	0	0	0	-1				10|7202|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1	10|7632|0|1		1	0		官方新手礼包	官方新手礼包	请输入正确的激活码！	激活码错误或已被领取！	103			http://www.quegame.com/	http://www.quegame.com/
12		2012|1|1	2017|11|1	1	0	0	0	-1				10|6049|0|1	10|7207|0|1	10|7211|0|1	10|7215|0|1	10|7631|0|1		1	0		媒体礼包	媒体礼包	请输入正确的激活码！	激活码错误或已被领取！	104			http://www.quegame.com/	http://www.quegame.com/
13		2012|1|1	2017|11|1	1	0	0	0	-1				10|6049|0|1	10|7206|0|1	10|7210|0|1	10|7214|0|1			1	0		微信礼包	微信礼包	请输入正确的激活码！	激活码错误或已被领取！	105			http://www.quegame.com/	http://www.quegame.com/
14		2012|1|1	2017|11|1	1	0	0	0	-1				10|6094|0|1						1	0		内部宝箱（2000）	内部宝箱（2000）	请输入正确的激活码！	激活码错误或已被领取！	106			http://www.quegame.com/	http://www.quegame.com/
15		2012|1|1	2017|11|1	1	0	0	0	-1				10|6095|0|1						1	0		内部宝箱（5000）	内部宝箱（5000）	请输入正确的激活码！	激活码错误或已被领取！	107			http://www.quegame.com/	http://www.quegame.com/
16		2012|1|1	2017|11|1	1	0	0	0	-1				10|6096|0|1						1	0		内部宝箱（20000）	内部宝箱（20000）	请输入正确的激活码！	激活码错误或已被领取！	108			http://www.quegame.com/	http://www.quegame.com/
