impress	Ôª±¦
1	10
2	10
3	10
4	10
5	10
6	20
7	20
8	20
9	20
10	20
11	30
12	30
13	30
14	30
15	30
16	30
17	30
18	30
19	30
20	30
21	30
22	30
23	30
24	30
25	30
26	30
27	30
28	30
29	30
30	30
31	30
32	30
33	30
34	30
35	30
36	30
37	30
38	30
39	30
40	30
41	35
42	35
43	35
44	35
45	35
46	35
47	35
48	35
49	35
50	35
51	35
52	35
53	35
54	35
55	35
56	35
57	35
58	35
59	35
60	35
61	40
62	40
63	40
64	40
65	40
66	40
67	40
68	40
69	40
70	40
71	40
72	40
73	40
74	40
75	40
76	40
77	40
78	40
79	40
80	40
81	50
82	50
83	50
84	50
85	50
86	50
87	50
88	50
89	50
90	50
91	50
92	50
93	50
94	50
95	50
96	50
97	50
98	50
99	50
100	50
101	60
102	60
103	60
104	60
105	60
106	60
107	60
108	60
109	60
110	60
111	60
112	60
113	60
114	60
115	60
116	60
117	60
118	60
119	60
120	60
121	80
122	80
123	80
124	80
125	80
126	80
127	80
128	80
129	80
130	80
131	80
132	80
133	80
134	80
135	80
136	80
137	80
138	80
139	80
140	80
141	100
142	100
143	100
144	100
145	100
146	100
147	100
148	100
149	100
150	100
151	100
152	100
153	100
154	100
155	100
156	100
157	100
158	100
159	100
160	100
161	200
162	200
163	200
164	200
165	200
166	200
167	200
168	200
169	200
170	200
171	200
172	200
173	200
174	200
175	200
176	200
177	200
178	200
179	200
180	200
181	200
182	200
183	200
184	200
185	200
186	200
187	200
188	200
189	200
190	200
191	200
192	200
193	200
194	200
195	200
196	200
197	200
198	200
199	200
200	200
201	200
202	200
203	200
204	200
205	200
206	200
207	200
208	200
209	200
210	200
211	200
212	200
213	200
214	200
215	200
216	200
217	200
218	200
219	200
220	200
221	200
222	200
223	200
224	200
225	200
226	200
227	200
228	200
229	200
230	200
231	200
232	200
233	200
234	200
235	200
236	200
237	200
238	200
239	200
240	200
241	200
242	200
243	200
244	200
245	200
246	200
247	200
248	200
249	200
250	200
251	200
252	200
253	200
254	200
255	200
