itemid	abstractid	name	品质	icon	icon灰	类型	叠加数量	物品描述	等级	商店价格	回收价格	回购价格	姓名	国家	将卡类型	picture	升级材料	升级材料数量	升级材料magicid	升级所得物品	升级价格	人物等级	脚本	miniicon	委任技能icon	最高倍率	通告	TAB_VERSION
666		屠龙宝刀	0	T_Icon_equipment_WuQi_W_54.img		1	1	GM专用装备	1	0	0	0										1				8	0	2018122000
667		屠龙宝甲	0	T_Icon_equipment_KaiJia_G_30.img		1	1	GM专用装备	1	0	0	0										1				8	0	
668		屠龙宝马	0	T_Icon_Suit_Ma_P_76.img		1	1	GM专用装备	1	0	0	0										1				8	0	
669		屠龙宝盔	0	T_Icon_equipment_TouKui_G_22.img		1	1	GM专用装备	1	0	0	0										1				8	0	
670		屠龙天书	0	T_Icon_Suit_Shu_P_58.img		1	1	GM专用装备	1	0	0	0										1				8	0	
2001		五折钢铠	4	T_Icon_Bulk_Kaijia_O_20.img		1	1		55	1830	31000	31000										55				8	-1	
2002		乌金锁子甲	4	T_Icon_Bulk_Kaijia_O_30.img		1	1		70	1830	31000	31000										70				8	-1	
2003		灵龟铠	4	T_Icon_Bulk_Kaijia_O_40.img		1	1		55	1830	31000	31000										55				8	-1	
2004		黄金锁子甲	4	T_Icon_Bulk_Kaijia_O_50.img		1	1		70	1830	35000	35000										70				8	-1	
2007		银龙铠	4	T_Icon_Suit_Kaijia_O_20.img		1	1		55	1830	31000	31000										55				8	-1	
2008		兽吞连环铠	4	T_Icon_Suit_Kaijia_O_40.img		1	1		70	1830	35000	35000										70				8	-1	
2009		麒麟铠	4	T_Icon_Suit_Kaijia_O_60.img		1	1		70	1830	35000	35000										70				8	-1	
2010		龙鳞铠	4	T_Icon_Suit_Kaijia_O_70.img		1	1		58	1830	29000	29000										58				8	-1	
2011		亮银狮子盔	4	T_Icon_Suit_Toukui_O_22.img		1	1		55	1830	31000	31000										55				8	-1	
2012		束发紫金冠	4	T_Icon_Suit_Toukui_O_42.img		1	1		70	1830	35000	35000										70				8	-1	
2013		五龙天王盔	4	T_Icon_Suit_Toukui_O_62.img		1	1		70	1830	35000	35000										70				8	-1	
2014		龙鳞盔	4	T_Icon_Suit_Toukui_O_72.img		1	1		58	1830	29000	29000										58				8	-1	
2015		紫金盔	4	T_Icon_Bulk_Toukui_O_22.img		1	1		55	1830	35000	35000										55				8	-1	
2016		飞龙盔	4	T_Icon_Bulk_Toukui_O_32.img		1	1		70	1830	31000	31000										70				8	-1	
2017		丹霞盔	4	T_Icon_Bulk_Toukui_O_42.img		1	1		55	1830	31000	31000										55				8	-1	
2018		青龙盔	4	T_Icon_Bulk_Toukui_O_52.img		1	1		70	1830	35000	35000										70				8	-1	
2021		龙胆亮银枪	4	T_Icon_Suit_Wuqi_O_24.img		1	1		55	1830	31000	31000										55				8	-1	
2022		方天画戟	4	T_Icon_Suit_Wuqi_O_44.img		1	1		70	1830	35000	35000										70				8	-1	
2023		天决剑	4	T_Icon_Suit_Wuqi_O_64.img		1	1		70	1830	35000	35000										70				8	-1	
2024		露陌刀	4	T_Icon_Suit_Wuqi_O_74.img		1	1		58	1830	29000	29000										58				8	-1	
2025		虎筋弦弓 	4	T_Icon_Bulk_Wuqi_O_24.img		1	1		55	1830	35000	35000										55				8	-1	
2026		丈八蛇矛	4	T_Icon_Bulk_Wuqi_O_34.img		1	1		70	1830	31000	31000										70				8	-1	
2027		百辟三宝刀	4	T_Icon_Bulk_Wuqi_O_44.img		1	1		55	1830	31000	31000										55				8	-1	
2028		青龙偃月刀	4	T_Icon_Bulk_Wuqi_O_54.img		1	1		70	1830	35000	35000										70				8	-1	
2032		鹤氅	3	T_Icon_Suit_Kaijia_P_30.img		1	1		20	1830	500	500										20				8	0	
2033		筒袖铠	3	T_Icon_Suit_Kaijia_P_40.img		1	1		30	1830	19200	19200										30				8	0	
