id	Name	HyperText	Circles	Level	PreTask	StepType	Steps	Exp	Exp2	Gold	脚本	过期	参数1	任务描述	奖励描述
1	开启建设功能	task/Xhuoqulingdi.cfg	1	1|1	0	0	2	100		1000	newguide/T_Xhuoqulingdi.cfg	0			
2	建设农田	task/Xshengjinongtian01.cfg	1	2|100	1	0	2	500		1000	newguide/T_Xshengjinongtian01.cfg	0			
3	招募长戟兵	task/Xzhaomu01.cfg	1	2|100	2	0	2	925		1000	newguide/T_Xzhaomu01.cfg	0			
4	酒肆抽卡	task/Xchouqujiangka.cfg	1	2|100	3	0	2	1450		1000	newguide/T_Xchouqujiangka.cfg	0			
6	编队出征	task/Xbiandui01.cfg	1	3|100	4	0	2	2075		1000	newguide/T_Xbiandui01.cfg	0			
7	初试身手	task/Xshaguai03.cfg	1	3|100	6	0	2	2125		1000	newguide/T_Xshaguai03.cfg	0			
8	招募弓箭兵	task/Xzhaomu02.cfg	1	3|100	7	0	2	2550		1000	newguide/T_Xzhaomu02.cfg	0			
9	酒肆抽卡	task/Xchouqujiangka.cfg	1	3|100	8	0	2	2975		2000	newguide/T_Xchouqujiangka.cfg	0			
10	将卡升级	task/Xshengjijiangka.cfg	1	4|100	9	0	2	3300		2000	newguide/T_Xshengjijiangka.cfg	0			
11	整编再战	task/Xbiandui01.cfg	1	4|100	10	0	2	3725		2000	newguide/T_Xbiandui02.cfg	0			
12	马邑惊闻	task/Xjinruzhengzhantianxia01.cfg	1	5|100	11	0	2	4150		2000	newguide/T_Xjinruzhengzhantianxia01.cfg	0			
13	军备升级	task/Xjiesuochangjibing.cfg	1	5|100	12	0	2	4575		2000	newguide/T_Xjiesuochangjibing.cfg	0			
14	升级科技	task/Xshengjikeji.cfg	1	5|100	13	0	2	4900		2000	newguide/T_Xshengjikeji.cfg	0			
15	升级府衙	task/Xshengjigongfang.cfg	1	6|100	14	0	2	5425		3000	newguide/T_Xshengjigongfang.cfg	0			
16	打造装备	task/Xkaiqigongfang.cfg	1	6|100	15	0	2	5650		3000	newguide/T_Xkaiqigongfang.cfg	0			
17	穿戴装备	task/Xchuandaizhuangbei01.cfg	1	6|100	16	0	2	3175		3000	newguide/T_Xchuandaizhuangbei01.cfg	0			
18	编队壮大	task/Xbiandui01.cfg	1	6|100	17	0	2	3650		3000	newguide/T_Xbiandui04.cfg	0			
22	体验国战	task/Xcitybattle.cfg	1	6|100	18	0	2	6100		3000	newguide/T_Xcitybattle.cfg	0			
500	参加一次国战	task/Xcanjiaguozhan.cfg	1	18|100	0	0	3	2000		30000	metier/T_Xcanjiaguozhan.cfg	0			
99	晋阳为民	task/Xzhengzhanjinyang.cfg	1	18|100	22	0	2	10000		10000	metier/T_Xzhuxianrenwu01.cfg	0			
100	北海突围	task/Xzhengzhanbeihai.cfg	1	20|100	99	0	2	10000		12000	metier/T_Xzhuxianrenwu01.cfg	0			
101	收复东莱	task/Xzhengzhandonglai.cfg	1	22|100	100	0	2	10000		14000	metier/T_Xzhuxianrenwu01.cfg	0			
102	平原求援	task/Xzhengzhanpingyuan.cfg	1	24|100	101	0	2	10000		16000	metier/T_Xzhuxianrenwu01.cfg	0			
130	水淹七军	task/Xzhengzhanxiangyang.cfg	1	26|100	102	0	2	10000		18000	metier/T_Xzhuxianrenwu01.cfg	0			
131	宛城闻讯	task/Xzhengzhanwan.cfg	1	28|100	130	0	2	10000		20000	metier/T_Xzhuxianrenwu01.cfg	0			
132	上庸求援	task/Xzhengzhanshangyong.cfg	1	30|100	131	0	2	10000		22000	metier/T_Xzhuxianrenwu01.cfg	0			
