id	主题	taskid	主题简	fubenid	奖励1	奖励2	RoleMsg	PlayerMsg	TAB_VERSION
1	新手任务	1	<新手>						3
1	新手任务	2	<新手>						
1	新手任务	3	<新手>						
1	新手任务	4	<新手>		10|10011|0|1	10|10020|0|1			
1	新手任务	6	<新手>						
1	新手任务	7	<新手>	45					
1	新手任务	8	<新手>						
1	新手任务	9	<新手>		10|10011|0|4	10|10200|0|1			
1	新手任务	10	<新手>						
1	新手任务	11	<新手>						
1	新手任务	12	<新手>	997					
1	新手任务	13	<新手>						
1	新手任务	14	<新手>						
1	新手任务	15	<新手>		10|3097|0|1	10|4013|0|2			
1	新手任务	16	<新手>						
1	新手任务	17	<新手>						
1	新手任务	18	<新手>						
1	新手任务	22	<新手>						
2	主线任务	500	<主线>		10|6817|0|1				
2	主线任务	99	<主线>	1000	10|10200|0|1	10|7550|0|1			
2	主线任务	100	<主线>	1001	10|10200|0|1	10|7550|0|1			
2	主线任务	101	<主线>	1002	10|10200|0|1	10|7550|0|1			
2	主线任务	102	<主线>	1003	10|7550|0|1				
2	主线任务	130	<主线>	1031	10|7550|0|1				
2	主线任务	131	<主线>	1032	10|7550|0|1				
2	主线任务	132	<主线>	1033	10|7550|0|1				
2	主线任务	133	<主线>	1034	10|7550|0|1				
2	主线任务	139	<主线>	1040	10|7550|0|1				
2	主线任务	140	<主线>	1041	10|7550|0|1				
2	主线任务	141	<主线>	1042	10|7550|0|1				
2	主线任务	142	<主线>	1043	10|7550|0|1				
2	主线任务	143	<主线>	1044	10|7550|0|1				
2	主线任务	144	<主线>	1045	10|7550|0|1				
2	主线任务	145	<主线>	1046	10|7550|0|1				
2	主线任务	146	<主线>	1047	10|7550|0|1				
2	主线任务	152	<主线>	1053	10|7550|0|1				
2	主线任务	153	<主线>	1054	10|7550|0|1				
2	主线任务	154	<主线>	1055	10|7550|0|1				
2	主线任务	155	<主线>	1056	10|7550|0|1				
2	主线任务	156	<主线>	1057	10|7550|0|1				
2	主线任务	157	<主线>	1058	10|7550|0|1				
2	主线任务	159	<主线>	1060	10|7550|0|1				
2	主线任务	160	<主线>	1061	10|7550|0|1				
2	主线任务	161	<主线>	1062	10|7550|0|1				
2	主线任务	166	<主线>	1067	10|7550|0|1				
2	主线任务	167	<主线>	1068	10|7550|0|1				
2	主线任务	168	<主线>	1069	10|7550|0|1				
2	主线任务	169	<主线>	1070	10|7550|0|1				
2	主线任务	170	<主线>	1071	10|7550|0|1				
2	主线任务	171	<主线>	1072	10|7550|0|1				
2	主线任务	172	<主线>	1073	10|7550|0|1				
3	支线任务	20000	<支线>						
3	支线任务	20001	<支线>						
3	支线任务	20002	<支线>						
3	支线任务	20003	<支线>		10|3500|0|3				
3	支线任务	20004	<支线>		10|3500|0|4				
3	支线任务	20005	<支线>		10|3500|0|5				
3	支线任务	20006	<支线>	2	10|7520|0|1	11|20002|0|5000			
3	支线任务	20007	<支线>	3	10|7520|0|1	11|20008|0|5000			
3	支线任务	20008	<支线>	4	10|7520|0|1	11|20002|0|10000			
3	支线任务	20009	<支线>	5	10|7520|0|1	11|20008|0|10000			
3	支线任务	20010	<支线>	6	10|7520|0|1	11|20507|0|10000			
3	支线任务	20011	<支线>	7	10|7520|0|1	11|20501|0|10000			
3	支线任务	20012	<支线>	8	10|7520|0|1	11|20505|0|10000			
3	支线任务	20013	<支线>	9	10|7520|0|1	11|20009|0|10000			
3	支线任务	20014	<支线>	10	10|7520|0|1	11|20005|0|10000			
3	支线任务	20015	<支线>	11	10|7520|0|1	11|20011|0|10000			
3	支线任务	20016	<支线>	12	10|7520|0|1	11|20004|0|10000			
3	支线任务	20017	<支线>	13	10|7520|0|1	11|20010|0|10000			
3	支线任务	20018	<支线>	14	10|7520|0|1	11|20023|0|5000			
3	支线任务	20019	<支线>	15	10|7520|0|1	11|20503|0|5000			
3	支线任务	20020	<支线>	16	10|7520|0|1	11|20006|0|5000			
3	支线任务	20021	<支线>	17	10|7520|0|1	11|20012|0|5000			
3	支线任务	20022	<支线>	18	10|7520|0|1	11|20018|0|5000			
3	支线任务	20023	<支线>	19	10|7520|0|1	11|20017|0|5000			
3	支线任务	20024	<支线>	20	10|7520|0|1	11|20019|0|5000			
3	支线任务	20025	<支线>	21	10|7520|0|1	11|20019|0|10000			
3	支线任务	20026	<支线>	1000					
3	支线任务	20027	<支线>	1001					
3	支线任务	20028	<支线>	1002					
3	支线任务	20029	<支线>	1003					
3	支线任务	20057	<支线>	1031					
3	支线任务	20058	<支线>	1032					
3	支线任务	20059	<支线>	1033					
3	支线任务	20060	<支线>	1034					
3	支线任务	20066	<支线>	1040					
3	支线任务	20067	<支线>	1041					
3	支线任务	20068	<支线>	1042					
3	支线任务	20069	<支线>	1043					
3	支线任务	20070	<支线>	1044					
3	支线任务	20071	<支线>	1045					
3	支线任务	20072	<支线>	1046					
3	支线任务	20073	<支线>	1047					
3	支线任务	20079	<支线>	1053					
3	支线任务	20080	<支线>	1054					
3	支线任务	20081	<支线>	1055					
3	支线任务	20082	<支线>	1056					
3	支线任务	20083	<支线>	1057					
3	支线任务	20084	<支线>	1058					
3	支线任务	20086	<支线>	1060					
3	支线任务	20087	<支线>	1061					
3	支线任务	20088	<支线>	1062					
3	支线任务	20093	<支线>	1067					
3	支线任务	20094	<支线>	1068					
3	支线任务	20095	<支线>	1069					
3	支线任务	20096	<支线>	1070					
3	支线任务	20097	<支线>	1071					
3	支线任务	20098	<支线>	1072					
3	支线任务	20099	<支线>	1073					
3	支线任务	21000	<支线>		10|7550|0|1				
3	支线任务	21001	<支线>		10|7200|0|1				
3	支线任务	21002	<支线>		10|7554|0|1				
3	支线任务	21003	<支线>		10|7554|0|1				
3	支线任务	21004	<支线>		10|7204|0|1				
3	支线任务	21005	<支线>		10|7554|0|1				
3	支线任务	21006	<支线>		10|6049|0|1				
3	支线任务	21007	<支线>		10|7554|0|1				
3	支线任务	21008	<支线>		10|7554|0|1				
3	支线任务	21009	<支线>		10|6049|0|1				
3	支线任务	21010	<支线>						
3	支线任务	600	<支线>						
3	支线任务	601	<支线>						
3	支线任务	602	<支线>						
3	支线任务	603	<支线>						
