equipid		图纸	铜钱	材料1	材料2	材料3	材料4	条件	兵法	阵法	洞察	统率	兵种	partid
666	屠龙宝刀								25000	25000	25000	25000	-1	2
667	屠龙宝甲								500	500	500	500	-1	1
668	屠龙宝马								100	100	100	100	-1	4
669	屠龙宝盔								500	500	500	500	-1	0
670	屠龙天书								100	100	100	100	-1	3
2097	铜剑	3097	1000	4013|2					27	8	0	11	-1	2
2086	铜扎甲	3086	2000	4006|5					0	32	20	11	-1	1
2092	赤铜盔	3092	2800	4019|5					0	24	20	11	-1	0
2098	素缨枪	3098	3600	4013|5					35	5	0	5	-1	2
2073	兽皮盔	3073	8000	4019|10	4008|2				0	27	14	14	-1	0
2067	皮甲	3067	8000	4006|10	4008|2				0	14	7	35	-1	1
2079	木弓	3079	8000	4013|10	4008|2				44	7	0	7	-1	2
2055	赤金盔	3055	24000	4019|12	4008|3				0	35	17	18	-1	0
2049	锁子甲	3049	24000	4006|12	4008|3				0	17	9	44	-1	1
2061	钢鞭	3061	24000	4013|12	4008|3				56	9	0	9	-1	2
2122	孙子兵法								57	0	79	28	-1	3
2112	的卢								41	39	20	28	-1	4
2032	鹤氅								0	79	49	28	-1	1
2038	八卦冠								0	59	49	28	-1	0
2044	七星剑								66	20	0	28	-1	2
2117	离骚	3117	10000	4030|14	4008|4				35	0	47	17	-1	3
2107	惊帆	3107	10000	4031|14	4008|4				25	24	12	17	-1	4
2074	虎皮冠	3074	12000	4019|30	4015|4				0	41	21	21	-1	0
2039	双凤铁盔	3039	46000	4019|150	4015|40				0	46	23	23	-1	0
2068	油藤甲	3068	12000	4006|30	4015|4				0	21	10	52	-1	1
2033	筒袖铠	3033	46000	4006|150	4015|40				0	23	12	58	-1	1
2080	长柄铁锤	3080	12000	4013|30	4015|4				66	10	0	10	-1	2
2045	三尖刀	3045	46000	4013|150	4015|40				75	12	0	12	-1	2
2119	史记	3119	20000	4030|30	4015|20				52	0	69	25	-1	3
2109	照夜玉狮子	3109	20000	4031|30	4015|20				37	34	17	25	-1	4
