level	人口	粮食	木材	铁矿	马匹
1	8000	3150	6300	6300	3150
2	8100	3200	6400	6400	3200
3	8200	3250	6500	6500	3250
4	8300	3300	6600	6600	3300
5	8400	3350	6700	6700	3350
6	8500	3400	6800	6800	3400
7	8600	3450	6900	6900	3450
8	8700	3500	7000	7000	3500
9	8800	3550	7100	7100	3550
10	8900	3600	7200	7200	3600
11	9000	3650	7300	7300	3650
12	9100	3700	7400	7400	3700
13	9200	3750	7500	7500	3750
14	9300	3800	7600	7600	3800
15	9400	3850	7700	7700	3850
16	9500	3900	7800	7800	3900
17	9600	3950	7900	7900	3950
18	9700	4000	8000	8000	4000
19	9800	4100	8200	8200	4100
20	9900	4200	8400	8400	4200
21	10000	4300	8600	8600	4300
22	10100	4400	8800	8800	4400
23	10200	4500	9000	9000	4500
24	10300	4600	9200	9200	4600
25	10400	4700	9400	9400	4700
26	10500	4800	9600	9600	4800
27	10600	4900	9800	9800	4900
28	10700	5000	10000	10000	5000
29	10800	5100	10200	10200	5100
30	10900	5200	10400	10400	5200
31	11000	5300	10600	10600	5300
32	11100	5400	10800	10800	5400
33	11200	5500	11000	11000	5500
34	11300	5600	11200	11200	5600
35	11400	5700	11400	11400	5700
36	11500	5800	11600	11600	5800
37	11600	5900	11800	11800	5900
38	11700	6000	12000	12000	6000
39	11800	6100	12200	12200	6100
40	11900	6200	12400	12400	6200
41	12000	6300	12600	12600	6300
42	12100	6400	12800	12800	6400
43	12200	6500	13000	13000	6500
44	12300	6600	13200	13200	6600
45	12400	6700	13400	13400	6700
46	12500	6900	13800	13800	6900
47	12600	7100	14200	14200	7100
48	12700	7300	14600	14600	7300
49	12800	7500	15000	15000	7500
50	12900	7700	15400	15400	7700
51	13000	8000	16000	16000	8000
52	13100	8300	16600	16600	8300
53	13200	8600	17200	17200	8600
54	13300	8900	17800	17800	8900
55	13400	9200	18400	18400	9200
56	13500	9500	19000	19000	9500
57	13600	9800	19600	19600	9800
58	13700	10100	20200	20200	10100
59	13800	10400	20800	20800	10400
60	13900	10700	21400	21400	10700
61	14000	11200	22400	22400	11200
62	14100	11700	23400	23400	11700
63	14200	12200	24400	24400	12200
64	14300	12700	25400	25400	12700
65	14400	13200	26400	26400	13200
66	14500	13700	27400	27400	13700
67	14600	14200	28400	28400	14200
68	14700	14700	29400	29400	14700
69	14800	15200	30400	30400	15200
70	14900	15700	31400	31400	15700
71	15000	16700	33400	33400	16700
72	15100	17700	35400	35400	17700
73	15200	18700	37400	37400	18700
74	15300	19700	39400	39400	19700
75	15400	20700	41400	41400	20700
76	15500	21700	43400	43400	21700
77	15600	22700	45400	45400	22700
78	15700	23700	47400	47400	23700
79	15800	24700	49400	49400	24700
80	15900	25700	51400	51400	25700
