id	人物名称	内容对白	脚本对白	图片名称	talkid	对话类型
1			task/dialogue/Dxumu01.cfg		1	
2			task/dialogue/Dxumu02.cfg		2	
3			task/dialogue/Dxumu03.cfg		3	
4			task/dialogue/Dxumu04.cfg		4	
5			task/dialogue/Dxumu05.cfg		5	
6			task/dialogue/Dxumu06.cfg		6	
7			task/dialogue/Dxumu07.cfg		7	
8			task/dialogue/Dxumu08.cfg		7	
9			task/dialogue/Dxumu09.cfg		1	
10			task/dialogue/Dxumu10.cfg		1	
11			task/dialogue/Dxumu11.cfg		8	
20		前方黄巾作乱，将军请务必小心！		UI_Juqing_T_Chuanlingbing.img	20	1
21	Player	在下初临战阵，难免不知所措，还请兄弟指点一二！			20	2
22		将军可听我指引，乱军之中杀条出路，率领我等攻破城门即可！		UI_Juqing_T_Chuanlingbing.img	20	1
23		将军，城门已经攻破，黄巾贼子人多势众、来势汹汹，请您暂入城中躲避，我和众位兄弟誓为将军断后！		UI_Juqing_T_Chuanlingbing.img	21	1
24	Player	城内黄巾余党尚存，是否已经被攻占了？			21	2
25		城中政厅未破，此城还属我方势力。希望将军入城之后励精图治，广积兵马，助我大王早日一统天下。		UI_Juqing_T_Chuanlingbing.img	21	1
26	Player	董卓乱政，天怒人怨。我也当助一臂之力，替天行道！			26	2
63	萌萌		task/dialogue/Dxumu12.cfg	UI_Juqing_T_XiaoChi.img	26	
62	斥候	前方发现敌军！		UI_Juqing_T_Chuanlingbing.img	28	1
27	萌萌		task/dialogue/Dxumu14.cfg	UI_Juqing_T_XiaoChi.img		
28	斥候	干的不错！继续前进！		UI_Juqing_T_Chuanlingbing.img		1
29	萌萌		task/dialogue/Dxumu17.cfg	UI_Juqing_T_XiaoChi.img	30	
30	刘备	董卓手下大将华雄就在关下，小将军随我速速击之。		UI_Juqing_T_Liubei.img	31	1
31	Player	刘备大人在此安心等候，待我直取华雄首级！			31	2
49	华雄	汝等敢以多欺少！给我放箭！！		UI_Juqing_T_Huaxiong.img	38	1
50	Player	汝助纣为虐，人人得而诛之！			38	2
51	华雄	啊……天亡我也！		UI_Juqing_T_Huaxiong.img	39	1
52	刘备	敌方群龙无首，乘此良机一举攻进城门吧！		UI_Juqing_T_Liubei.img	39	1
	斥候	董卓已退，乘此良机一举攻入关内吧！		UI_Juqing_T_Chuanlingbing.img		
53	斥候	击败守军，攻占虎牢关。		UI_Juqing_T_Chuanlingbing.img	40	1
54	Player	我军占领了虎牢关，接下来……			41	2
55	斥候	将军！领地有变，还请将军速速返回！		UI_Juqing_T_Chuanlingbing.img	41	1
57	刘备	城门固若金汤，需配合攻城器械方可攻破。		UI_Juqing_T_Liubei.img	43	1
59		朝地图右上方进军，击败华雄吧！			44	0
60		朝地图左边进军，击败战神吕布吧！			45	0
61	华雄	我乃大将华雄！汝又是何方无名小卒？		UI_Juqing_T_Huaxiong.img	46	1
