level	市集增加量
1	10000
2	11000
3	12000
4	13000
5	14000
6	15000
7	16000
8	17000
9	18000
10	19000
11	20000
12	21000
13	22000
14	23000
15	24000
16	25000
17	26000
18	27000
19	28000
20	29000
21	30000
22	31000
23	32000
24	33000
25	34000
26	35000
27	36000
28	37000
29	38000
30	39000
31	40000
32	41000
33	42000
34	43000
35	44000
36	45000
37	46000
38	47000
39	48000
40	49000
41	50000
42	51000
43	52000
44	53000
45	54000
46	55000
47	56000
48	57000
49	58000
50	59000
51	60000
52	61000
53	62000
54	63000
55	64000
56	65000
57	66000
58	67000
59	68000
60	69000
61	70000
62	71000
63	72000
64	73000
65	74000
66	75000
67	76000
68	77000
69	78000
70	79000
71	80000
72	81000
73	82000
74	83000
75	84000
76	85000
77	86000
78	87000
79	88000
80	89000
