itemid	数量	价格	name	TAB_VERSION
7560	1	100	初级倚天经验丹	0
7561	1	490	中级倚天经验丹	
7562	1	1950	高级倚天经验丹	
7563	1	100	初级青釭经验丹	
7564	1	490	中级青釭经验丹	
7565	1	1950	高级青釭经验丹	
7566	1	100	初级射日经验丹	
7567	1	490	中级射日经验丹	
7568	1	1950	高级射日经验丹	
7569	1	100	初级连弩经验丹	
7570	1	490	中级连弩经验丹	
7571	1	1950	高级连弩经验丹	
7572	1	100	初级青龙经验丹	
7573	1	490	中级青龙经验丹	
7574	1	1950	高级青龙经验丹	
7575	1	100	初级画戟经验丹	
7576	1	490	中级画戟经验丹	
7577	1	1950	高级画戟经验丹	
7578	1	100	初级羽扇经验丹	
7579	1	490	中级羽扇经验丹	
7580	1	1950	高级羽扇经验丹	
7581	1	100	初级天书经验丹	
7582	1	490	中级天书经验丹	
7583	1	1950	高级天书经验丹	
