abstractid	name	兵种	兵营等级	驻地	时间	装备ID	装备数量	铜钱	粮食	铁矿	木材	马匹	icon	icon灰	兵种头像	兵种头像灰	条件	说明	领导力	可招募	需求军备ID	iconname	swname	脚本	花费军团贡献	兵种等级
20001	弓    兵	1	1	0	5	1001	0	1	10	10	20	0	UI_Army_Gong_N.img	UI_Army_Gong_D.img	T_Beta2_CopyBattle_Gong.img	T_Beta2_CopyBattle_Gong2.img	NGongbing.cfg	IGongBing.cfg	6	1	0	Bb_1_2	sw284_14	JXJ/script/bot/JXJGongbingRole.cfg	3	1
20002	飞 刀 兵	1	20	0	7.5	1002	0	2	25	25	50	0	UI_Army_Feidao_N.img	UI_Army_Feidao_D.img	T_Beta2_CopyBattle_Gong.img	T_Beta2_CopyBattle_Gong2.img	NFeidao.cfg	IFeidao.cfg	7	1	30101|30105	Bb_2_5	sw284_6	JXJ/script/bot/JXJFeidaobingRole.cfg	6	2
20507	黑山弩兵	1	20	0	7.5	1003	0	2	25	25	50	0	UI_Army_HSNB_N.img	UI_Army_HSNB_D.img	UI_Army_HSNB_N.img	UI_Army_HSNB_D.img	NHeishannubing.cfg	IHeishannubing.cfg	7	1	30101|30111	Bb_2_4	sw284_5	JXJ/script/bot/JXJGongbingRole.cfg	6	2
20505	镖 枪 兵	1	35	0	10	1001	0	3	63	62	125	0	UI_Army_BQB_N.img	UI_Army_BQB_D.img	UI_Army_BQB_N.img	UI_Army_BQB_D.img	NBiaoqiangbing.cfg	IBiaoqiangbing.cfg	8	1	30102|30106	Bb_3_5	sw284_17	JXJ/script/bot/JXJBiaoqiangbingRole.cfg	12	3
20003	弩    兵	1	35	0	10	1003	0	3	62	63	125	0	UI_Army_Nu_N.img	UI_Army_Nu_D.img	T_Beta2_CopyBattle_Gong.img	T_Beta2_CopyBattle_Gong2.img	NNubing.cfg	INubing.cfg	8	1	30102|30112	Bb_3_4	sw284_16	JXJ/script/bot/JXJNubingRole.cfg	12	3
20005	神 射 营	1	50	0	21.3	1005	0	4	156	156	313	0	UI_Army_Shenshe_N.img	UI_Army_Shenshe_D.img	T_Beta2_CopyBattle_Gong.img	T_Beta2_CopyBattle_Gong2.img	NShensheying.cfg	IShensheying.cfg	10	1	30103|30107|30109	Bb_4_7	sw284_13	JXJ/script/bot/JXJShensheyingRole.cfg	18	4
20004	先登强弩	1	50	0	21.3	1004	0	4	156	156	313	0	UI_Army_Qiangnu_N.img	UI_Army_Qiangnu_D.img	T_Beta2_CopyBattle_Gong.img	T_Beta2_CopyBattle_Gong2.img	NQiangnu.cfg	IQiangnu.cfg	10	1	30103|30113|30115	Bb_4_6	sw284_12	JXJ/script/bot/JXJQiangnuRole.cfg	18	4
20023	无当飞军	1	65	0	31.9	1023	0	16	625	625	1250	0	UI_Army_Wudangfeijun_N.img	UI_Army_Wudangfeijun_D.img	T_Beta5_CopyBattle_Gong.img	T_Beta2_CopyBattle_Gong5.img	NFeidao.cfg	IWudangfeijun.cfg	12	1	30104|30108|30110	Bb_5_7		JXJ/script/bot/JXJWudangfeijunRole.cfg	30	5
20006	元 戎 弩	1	65	0	31.9	1006	0	16	625	625	1250	0	UI_Army_Yuanrong_N.img	UI_Army_Yuanrong_D.img	T_Beta2_CopyBattle_Gong.img	T_Beta2_CopyBattle_Gong2.img	NYuanrongnu.cfg	IYuanrongnu.cfg	12	1	30104|30114|30116	Bb_5_6		JXJ/script/bot/JXJYuanrongnuRole.cfg	30	5
20007	长 戟 兵	0	1	0	5	1007	0	1	20	10	10	0	UI_Army_Changji_N.img	UI_Army_Changji_D.img	T_Beta2_CopyBattle_Bu.img	T_Beta2_CopyBattle_Bu2.img	NChangjibing.cfg	IChangjibing.cfg	6	1	0	Bb_1_2	sw284_14	JXJ/script/bot/JXJChangjibingRole.cfg	3	1
