等级	类型1	奖励1	类型2	奖励2
1	10	6831|0|1	10	6073|0|3
2	10	6830|0|1	10	6073|0|2
3	10	6830|0|1	10	6073|0|2
4	10	6829|0|1	10	6073|0|1
5	10	6829|0|1	10	6073|0|1
6	10	6829|0|1	10	6072|0|3
7	10	6829|0|1	10	6072|0|3
8	10	6829|0|1	10	6072|0|2
9	10	6829|0|1	10	6072|0|2
10	10	6829|0|1	10	6072|0|2
11	10	6828|0|1	10	6072|0|1
12	10	6828|0|1	10	6072|0|1
13	10	6828|0|1	10	6072|0|1
14	10	6828|0|1	10	6072|0|1
15	10	6828|0|1	10	6072|0|1
16	10	6828|0|1	10	6072|0|1
17	10	6828|0|1	10	6072|0|1
18	10	6828|0|1	10	6072|0|1
19	10	6828|0|1	10	6072|0|1
20	10	6828|0|1	10	6072|0|1
21	10	6828|0|1	10	6072|0|1
22	10	6828|0|1	10	6072|0|1
23	10	6828|0|1	10	6072|0|1
24	10	6828|0|1	10	6072|0|1
25	10	6828|0|1	10	6072|0|1
26	10	6828|0|1	10	6072|0|1
27	10	6828|0|1	10	6072|0|1
28	10	6828|0|1	10	6072|0|1
29	10	6828|0|1	10	6072|0|1
30	10	6828|0|1	10	6072|0|1
31	10	6827|0|1	10	6072|0|1
32	10	6827|0|1	10	6072|0|1
33	10	6827|0|1	10	6072|0|1
34	10	6827|0|1	10	6072|0|1
35	10	6827|0|1	10	6072|0|1
36	10	6827|0|1	10	6072|0|1
37	10	6827|0|1	10	6072|0|1
38	10	6827|0|1	10	6072|0|1
39	10	6827|0|1	10	6072|0|1
40	10	6827|0|1	10	6072|0|1
41	10	6827|0|1	10	6072|0|1
42	10	6827|0|1	10	6072|0|1
43	10	6827|0|1	10	6072|0|1
44	10	6827|0|1	10	6072|0|1
45	10	6827|0|1	10	6072|0|1
46	10	6827|0|1	10	6072|0|1
47	10	6827|0|1	10	6072|0|1
48	10	6827|0|1	10	6072|0|1
49	10	6827|0|1	10	6072|0|1
50	10	6827|0|1	10	6072|0|1
51	10	6827|0|1	10	6072|0|1
52	10	6827|0|1	10	6072|0|1
53	10	6827|0|1	10	6072|0|1
54	10	6827|0|1	10	6072|0|1
55	10	6827|0|1	10	6072|0|1
56	10	6827|0|1	10	6072|0|1
57	10	6827|0|1	10	6072|0|1
58	10	6827|0|1	10	6072|0|1
59	10	6827|0|1	10	6072|0|1
60	10	6827|0|1	10	6072|0|1
61	10	6827|0|1	10	6072|0|1
62	10	6827|0|1	10	6072|0|1
63	10	6827|0|1	10	6072|0|1
64	10	6827|0|1	10	6072|0|1
65	10	6827|0|1	10	6072|0|1
66	10	6827|0|1	10	6072|0|1
67	10	6827|0|1	10	6072|0|1
68	10	6827|0|1	10	6072|0|1
69	10	6827|0|1	10	6072|0|1
70	10	6827|0|1	10	6072|0|1
71	10	6827|0|1	10	6072|0|1
72	10	6827|0|1	10	6072|0|1
73	10	6827|0|1	10	6072|0|1
74	10	6827|0|1	10	6072|0|1
75	10	6827|0|1	10	6072|0|1
76	10	6827|0|1	10	6072|0|1
77	10	6827|0|1	10	6072|0|1
78	10	6827|0|1	10	6072|0|1
79	10	6827|0|1	10	6072|0|1
80	10	6827|0|1	10	6072|0|1
81	10	6827|0|1	10	6072|0|1
82	10	6827|0|1	10	6072|0|1
83	10	6827|0|1	10	6072|0|1
84	10	6827|0|1	10	6072|0|1
85	10	6827|0|1	10	6072|0|1
86	10	6827|0|1	10	6072|0|1
87	10	6827|0|1	10	6072|0|1
88	10	6827|0|1	10	6072|0|1
89	10	6827|0|1	10	6072|0|1
90	10	6827|0|1	10	6072|0|1
91	10	6827|0|1	10	6072|0|1
92	10	6827|0|1	10	6072|0|1
93	10	6827|0|1	10	6072|0|1
94	10	6827|0|1	10	6072|0|1
95	10	6827|0|1	10	6072|0|1
96	10	6827|0|1	10	6072|0|1
97	10	6827|0|1	10	6072|0|1
98	10	6827|0|1	10	6072|0|1
99	10	6827|0|1	10	6072|0|1
100	10	6827|0|1	10	6072|0|1
