widget	script
UI_ArmyAdviser	UI_ArmyAdviserCanvas.cfg
UI_ArmyAdviser_Drag	ui_frame.cfg
UI_ArmyAdviser_Close	UI_Close.cfg
UI_ArmyAdviser_Qkns	UI_ArmyAdviser_Qkns.cfg
UI_ArmyAdviser_Wzjh	UI_ArmyAdviser_Wzjh.cfg
UI_ArmyAdviser_Upgrade	UI_ArmyAdviser_Upgrade.cfg
ArmyAdviserRaido2	ArmyAdviserRaido2.cfg
UI_ArmyAdviser_Qkns_Upgrade1	UI_ArmyAdviser_Qkns_Upgrade1.cfg
UI_ArmyAdviser_Qkns_Upgrade2	UI_ArmyAdviser_Qkns_Upgrade2.cfg
UI_ArmyAdviser_Qkns_Upgrade3	UI_ArmyAdviser_Qkns_Upgrade3.cfg
UI_ArmyAdviser_Qkns_Upgrade4	UI_ArmyAdviser_Qkns_Upgrade4.cfg
UI_ArmyAdviser_Left	UI_ArmyAdviser_Left.cfg
UI_ArmyAdviser_Right	UI_ArmyAdviser_Right.cfg
UI_ArmyAdviser_Chongzhi	UI_ChongZhi.cfg
VIP_Linqu	UI_Getviplvrreward.cfg
UI_Event_Icon1	HuangZuanIcon.cfg
UI_Event_Icon2	HuangZuanIcon.cfg
UI_Event_Icon3	HuangZuanIcon.cfg
UI_Event_Icon4	HuangZuanIcon.cfg
UI_Event_Icon5	HuangZuanIcon.cfg
