widget	script
UI_Battleground_Jr1_map	UI_Battleground_Jr1_map.cfg
MedianCity_Bunai	UI_Battleground_ChooseCity.cfg
MedianCity_Lelang	UI_Battleground_ChooseCity.cfg
MedianCity_Daifang	UI_Battleground_ChooseCity.cfg
MedianCity_Haiming	UI_Battleground_ChooseCity.cfg
MedianCity_Anping	UI_Battleground_ChooseCity.cfg
MedianCity_Xiangping	UI_Battleground_ChooseCity.cfg
MedianCity_Anshi	UI_Battleground_ChooseCity.cfg
MedianCity_Pingguo	UI_Battleground_ChooseCity.cfg
MedianCity_Beifeng	UI_Battleground_ChooseCity.cfg
MedianCity_Dongta	UI_Battleground_ChooseCity.cfg
MedianCity_Xuantu	UI_Battleground_ChooseCity.cfg
MedianCity_Changli	UI_Battleground_ChooseCity.cfg
MedianCity_Liucheng	UI_Battleground_ChooseCity.cfg
MedianCity_Liaoxi	UI_Battleground_ChooseCity.cfg
MedianCity_Beiping	UI_Battleground_ChooseCity.cfg
MedianCity_Ji	UI_Battleground_ChooseCity.cfg
MedianCity_Zhuoxian	UI_Battleground_ChooseCity.cfg
MedianCity_Daixian	UI_Battleground_ChooseCity.cfg
MedianCity_Yijing	UI_Battleground_ChooseCity.cfg
MedianCity_Hejian	UI_Battleground_ChooseCity.cfg
MedianCity_Nanpi	UI_Battleground_ChooseCity.cfg
MedianCity_Lingqiu	UI_Battleground_ChooseCity.cfg
MedianCity_Zhongshan	UI_Battleground_ChooseCity.cfg
MedianCity_Changshan	UI_Battleground_ChooseCity.cfg
MedianCity_Julu	UI_Battleground_ChooseCity.cfg
MedianCity_Handan	UI_Battleground_ChooseCity.cfg
MedianCity_Linshui	UI_Battleground_ChooseCity.cfg
MedianCity_Ye	UI_Battleground_ChooseCity.cfg
MedianCity_Liyang	UI_Battleground_ChooseCity.cfg
MedianCity_Guantao	UI_Battleground_ChooseCity.cfg
MedianCity_Jieqiao	UI_Battleground_ChooseCity.cfg
MedianCity_Donglai	UI_Battleground_ChooseCity.cfg
MedianCity_Jimo	UI_Battleground_ChooseCity.cfg
MedianCity_Beihai	UI_Battleground_ChooseCity.cfg
MedianCity_Linzi	UI_Battleground_ChooseCity.cfg
MedianCity_Jinan	UI_Battleground_ChooseCity.cfg
MedianCity_Pingyuan	UI_Battleground_ChooseCity.cfg
MedianCity_Langya	UI_Battleground_ChooseCity.cfg
MedianCity_Pengcheng	UI_Battleground_ChooseCity.cfg
MedianCity_Xiapi	UI_Battleground_ChooseCity.cfg
MedianCity_Xiaopei	UI_Battleground_ChooseCity.cfg
MedianCity_Huailing	UI_Battleground_ChooseCity.cfg
MedianCity_Huaiyin	UI_Battleground_ChooseCity.cfg
MedianCity_Sheyang	UI_Battleground_ChooseCity.cfg
MedianCity_Yandu	UI_Battleground_ChooseCity.cfg
MedianCity_Guangling	UI_Battleground_ChooseCity.cfg
MedianCity_Hailing	UI_Battleground_ChooseCity.cfg
MedianCity_Taishan	UI_Battleground_ChooseCity.cfg
MedianCity_Donge	UI_Battleground_ChooseCity.cfg
MedianCity_Dongping	UI_Battleground_ChooseCity.cfg
MedianCity_Rencheng	UI_Battleground_ChooseCity.cfg
MedianCity_Baima	UI_Battleground_ChooseCity.cfg
MedianCity_Puyang	UI_Battleground_ChooseCity.cfg
MedianCity_Dingtao	UI_Battleground_ChooseCity.cfg
MedianCity_Chenliu	UI_Battleground_ChooseCity.cfg
MedianCity_Xuchang	UI_Battleground_ChooseCity.cfg
MedianCity_Yingyin	UI_Battleground_ChooseCity.cfg
MedianCity_Wuyang	UI_Battleground_ChooseCity.cfg
MedianCity_Chen	UI_Battleground_ChooseCity.cfg
MedianCity_Runan	UI_Battleground_ChooseCity.cfg
MedianCity_Ruyin	UI_Battleground_ChooseCity.cfg
MedianCity_Anyang	UI_Battleground_ChooseCity.cfg
MedianCity_Qiao	UI_Battleground_ChooseCity.cfg
MedianCity_Mangdangshan	UI_Battleground_ChooseCity.cfg
MedianCity_Yiyang	UI_Battleground_ChooseCity.cfg
MedianCity_Xiyang	UI_Battleground_ChooseCity.cfg
MedianCity_Anfeng	UI_Battleground_ChooseCity.cfg
MedianCity_Leping	UI_Battleground_ChooseCity.cfg
MedianCity_Yanmen	UI_Battleground_ChooseCity.cfg
MedianCity_Mayi	UI_Battleground_ChooseCity.cfg
MedianCity_Jinyang	UI_Battleground_ChooseCity.cfg
MedianCity_Shangdang	UI_Battleground_ChooseCity.cfg
MedianCity_Huguan	UI_Battleground_ChooseCity.cfg
MedianCity_Xihe	UI_Battleground_ChooseCity.cfg
MedianCity_Shangjun	UI_Battleground_ChooseCity.cfg
MedianCity_Dingxiang	UI_Battleground_ChooseCity.cfg
