widget	script
UI_Beta2_FeudalLord	UI_Beta2_FeudalLord.cfg
UI_Beta2_FeudalLord_Close	UI_Close.cfg
UI_Beta2_FeudalLord_Drag	ui_frame.cfg
UI_Beta2_FeudalLord_Toukui	UI_Beta2_FeudalLord_Toukui.cfg
UI_Beta2_FeudalLord_Kaijia	UI_Beta2_FeudalLord_Kaijia.cfg
UI_Beta2_FeudalLord_Wuqi	UI_Beta2_FeudalLord_Wuqi.cfg
UI_Beta2_FeudalLord_Shuji	UI_Beta2_FeudalLord_Shuji.cfg
UI_Beta2_FeudalLord_Mapi	UI_Beta2_FeudalLord_Mapi.cfg
UI_Beta2_FeudalLord_Guanzhi	UI_Beta2_FeudalLord_Guanzhi.cfg
UI_Beta2_FeudalLord_GongJi	UI_Beta2_FeudalLord_GongJi.cfg
UI_Beta2_FeudalLord_BingFa	UI_Beta2_FeudalLord_BingFa.cfg
UI_Beta2_FeudalLord_ZhengFa	UI_Beta2_FeudalLord_ZhengFa.cfg
UI_Beta2_FeudalLord_TongShuai	UI_Beta2_FeudalLord_TongShuai.cfg
UI_Beta2_FeudalLord_Dongcha	UI_Beta2_FeudalLord_Dongcha.cfg
Exp	
UI_Beta2_FeudalLord_ChangeImage	UI_Beta2_FeudalLord_ChangeImage.cfg
Add1	UI_Beta2_FeudalLord_Add1.cfg
Add2	UI_Beta2_FeudalLord_Add1.cfg
Add3	UI_Beta2_FeudalLord_Add1.cfg
Add4	UI_Beta2_FeudalLord_Add1.cfg
FeudalLordRaido	FeudalLordRaido.cfg
UI_Zhan	UI_LingzhuZhan.cfg
UI_Lunhui_Cangku	UI_LingZhuEnterLunHuiCangKu.cfg
UI_Lunhui_Guizhe	UI_ShowLunHuiRole.cfg
