widget	script
UI_Beta2_Mail	UI_Beta2_Mail.cfg
UI_Beta2_Mail_Drag	ui_frame.cfg
UI_Beta2_Mail_Close	UI_Close.cfg
UI_Beta2_Mail_Syj_Hf	UI_Beta2_Mail_Syj_Hf.cfg
UI_Beta2_Mail_Xyj_Hylb	UI_Beta2_Mail_Xyj_Hylb.cfg
UI_Beta2_Mail_Syj_Xx	UI_Beta2_Mail_Syj_Xx.cfg
UI_Beta2_Mail_Xyj_Fh	UI_Beta2_Mail_Xyj_Fh.cfg
UI_Beta2_Mail_Left	UI_Beta2_Mail_Left.cfg
UI_Beta2_Mail_Right	UI_Beta2_Mail_Right.cfg
UI_MailRaido	UI_MailRaido.cfg
UI_Beta2_Mail_Xyj_Fs	UI_Beta2_Mail_Xyj_Fs.cfg
Gamelist	UI_Beta2_Mail_Hylb_Gamelist.cfg
UI_Beta2_Mail_Yj1_Choice	UI_Beta2_Mail_Yj1_Choice.cfg
UI_Beta2_Mail_Yj2_Choice	UI_Beta2_Mail_Yj2_Choice.cfg
UI_Beta2_Mail_Yj3_Choice	UI_Beta2_Mail_Yj3_Choice.cfg
UI_Beta2_Mail_Yj4_Choice	UI_Beta2_Mail_Yj4_Choice.cfg
UI_Beta2_Mail_Yj5_Choice	UI_Beta2_Mail_Yj5_Choice.cfg
UI_Beta2_Mail_Xyj_Input5	UI_Beta2_Mail_Xyj_Input5.cfg
UI_Beta2_Mail_Sc	UI_Beta2_Mail_Sc.cfg
UI_Beta2_Mail_Qx	UI_Beta2_Mail_Qx.cfg
UI_Beta2_Mail_Listctrl_1	UI_Beta2_Mail_Hylb_Gamelist.cfg
UI_Beta2_Mail_Syj_Icon1	UI_Beta2_Mail_Syj_Icon1.cfg
UI_Beta2_Mail_Syj_Icon2	UI_Beta2_Mail_Syj_Icon2.cfg
UI_Beta2_Mail_Syj_Icon3	UI_Beta2_Mail_Syj_Icon3.cfg
UI_Beta2_Mail_Syj_Icon4	UI_Beta2_Mail_Syj_Icon4.cfg
UI_Beta2_Mail_Syj_Icon5	UI_Beta2_Mail_Syj_Icon5.cfg
UI_Mail_Syj_Card	UI_Mail_Syj_Card1.cfg
UI_Mail_Syj_Card2	UI_Mail_Syj_Card2.cfg
UI_Mail_Syj_Card3	UI_Mail_Syj_Card3.cfg
UI_Mail_Syj_Card4	UI_Mail_Syj_Card4.cfg
UI_Mail_Syj_Card5	UI_Mail_Syj_Card5.cfg
