widget	script
UI_CopyBattle_MinMap	UI_CopyBattle_MinMapCanvas.cfg
UI_CopyBattle_Beta1_XiaoDiTu2	UI_Map.cfg
UI_CopyBattle_Sign	UI_CopyBattle_Sign.cfg
UI_CopyBattle_Backdrop	UI_CopyBattle_Backdrop.cfg
UI_CopyBattle_Mark	UI_CopyBattle_Mark.cfg
UI_CopyBattle_Detrusion	UI_CopyBattle_Detrusion.cfg
UI_CopyBattle_Fief	UI_CopyBattle_Fief.cfg
UI_CopyBattle_System1	UI_CopyBattle_System1.cfg
UI_CopyBattle_Attack	UI_CopyBattle_Attack_Tips.cfg
UI_CopyBattle_Stop	UI_CopyBattle_Stop_Tips.cfg
UI_CopyBattle_Move	UI_CopyBattle_Move_Tips.cfg
UI_CopyBattle_Patrol	UI_CopyBattle_Patrol_Tips.cfg
UI_CopyBattle_Garrison	UI_CopyBattle_Garrison_Tips.cfg
UI_CopyBattle_ToZhenting	UI_CopyBattle_ToZhenting.cfg
UI_CopyBattle_Prompt	UI_CopyBattle_UserHelp.cfg
