widget	script
UI_Danbichongzhi	UI_Danbichongzhi.cfg
Drag	UI_frame.cfg
Close	UI_Close.cfg
Chongzhi	UI_ChongZhi.cfg
Lingqu1	UI_DanbichongzhiLingqu1.cfg
Lingqu2	UI_DanbichongzhiLingqu2.cfg
Lingqu3	UI_DanbichongzhiLingqu3.cfg
Lingqu4	UI_DanbichongzhiLingqu4.cfg
Icon1	HuangZuanIcon.cfg
Icon2	HuangZuanIcon.cfg
Icon3	HuangZuanIcon.cfg
Icon4	HuangZuanIcon.cfg
Icon5	HuangZuanIcon.cfg
Icon6	HuangZuanIcon.cfg
Icon7	HuangZuanIcon.cfg
Icon8	HuangZuanIcon.cfg
Icon9	HuangZuanIcon.cfg
Icon10	HuangZuanIcon.cfg
Icon11	HuangZuanIcon.cfg
Icon12	HuangZuanIcon.cfg
Icon13	HuangZuanIcon.cfg
Icon14	HuangZuanIcon.cfg
Icon15	HuangZuanIcon.cfg
Icon16	HuangZuanIcon.cfg
