widget	script
UI_Fuben_VictoryFail	UI_Fuben_VictoryFailCanvas.cfg
UI_Fuben_VictoryFail_close	UI_Close.cfg
UI_Fuben_VictoryFail_confirm	UI_Fuben_VictoryFail_confirm.cfg
UI_TreasureChests1	UI_TreasureChests1.cfg
UI_TreasureChests2	UI_TreasureChests2.cfg
UI_TreasureChests3	UI_TreasureChests3.cfg
UI_Fuben_VictoryFail_Double	UI_Fuben_VictoryFail_Double.cfg
UI_Fuben_VictoryFail_Double2	UI_Fuben_VictoryFail_Double.cfg
UI_Fuben_VictoryFail_SanBei	UI_Fuben_VictoryFail_SanBei.cfg
UI_Fuben_VictoryFail_Double3	UI_Fuben_VictoryFail_Double.cfg
UI_Fuben_VictoryFail_SanBei2	UI_Fuben_VictoryFail_SanBei.cfg
UI_Fuben_VictoryFail_SiBei	UI_Fuben_VictoryFail_SiBei.cfg
Icon1	UI_VictoryFail_Icon1.cfg
Icon2	UI_VictoryFail_Icon2.cfg
Icon3	UI_VictoryFail_Icon3.cfg
