widget	script
UI_Jk	UI_JkCanvas.cfg
UI_Beta2_Formation_Tcjk_Drag	UI_frame.cfg
UI_Jk_Close	UI_Beta2_Formation_Tcjk_Close.cfg
UI_Jk_Drag2	UI_frame.cfg
UI_Jk_Close_1	UI_Beta2_Formation_Tcjk_Close.cfg
UI_JkRaido	UI_JkRaido.cfg
JkGuojieRaido	SelectChangeParentUpdate.cfg
UI_JkZuo	UI_JkZuo.cfg
UI_JkYou	UI_JkYou.cfg
JtouxiangRaido	JtouxiangRaidoSelectChange.cfg
Jk_Shang	UI_Jk_Shang.cfg
Jk_Xia	UI_Jk_Xia.cfg
Jk_DikaRaido	SelectChangeParentUpdate.cfg
Jkzh_Jihuo	UI_Jkzh_Jihuo.cfg
Jkzh_Jihuo_1	UI_Jkzh_Jihuo.cfg
Jkzh_Jihuo_2	UI_Jkzh_Jihuo.cfg
UI_ExchangeRaido2	UI_ExchangeRaido2.cfg
UI_ExchangeRaido1	UI_ExchangeRaido1.cfg
Exchange1	Exchange1.cfg
Exchange2	Exchange2.cfg
Exchange3	Exchange3.cfg
Exchange4	Exchange4.cfg
Exchange5	Exchange5.cfg
Exchange6	Exchange6.cfg
Exchange7	Exchange7.cfg
Exchange8	Exchange8.cfg
Exchange9	Exchange9.cfg
Exchange10	Exchange10.cfg
Exchange11	Exchange11.cfg
Exchange12	Exchange12.cfg
UI_Jiusi_Exchange_Left	UI_Jiusi_Exchange_Left.cfg
UI_Jiusi_Exchange_Right	UI_Jiusi_Exchange_Right.cfg
Card1	UI_Jiusi_Exchange_Card1.cfg
Card2	UI_Jiusi_Exchange_Card2.cfg
Card3	UI_Jiusi_Exchange_Card3.cfg
Card4	UI_Jiusi_Exchange_Card4.cfg
Card5	UI_Jiusi_Exchange_Card5.cfg
Card6	UI_Jiusi_Exchange_Card6.cfg
Card7	UI_Jiusi_Exchange_Card7.cfg
Card8	UI_Jiusi_Exchange_Card8.cfg
Card9	UI_Jiusi_Exchange_Card9.cfg
Card10	UI_Jiusi_Exchange_Card10.cfg
Card11	UI_Jiusi_Exchange_Card11.cfg
Card12	UI_Jiusi_Exchange_Card12.cfg
UI_Jiusi_Exchange_Input10	UI_Jiusi_Exchange_Input10.cfg
UI_Beta2_Formation_Tcjk_Left	UI_Beta2_Formation_Tcjk_Left.cfg
UI_Beta2_Formation_Tcjk_Right	UI_Beta2_Formation_Tcjk_Right.cfg
GameList_1	UI_Beta2_Formation_GameList_1.cfg
TcjkRaido1	TcjkRaido1.cfg
TcjkRaido2	TcjkRaido2.cfg
CardSystemRaido3	CardSystemRaido3.cfg
UI_Formation_Tcjk_ZL	UI_Formation_Tcjk_ZL.cfg
GameListctrl	UI_Beta2_CardSystem_GameListctrl.cfg
UI_Beta2_CardSystem_Sell_ChuShou	UI_Beta2_CardSystem_Sell_ChuShou.cfg
UI_Beta2_CardSystem_Jksj_Upgrade	UI_Beta2_CardSystem_Jksj_Upgrade.cfg
UI_Beta2_CardSystem_Jksj_Icon1	UI_Beta2_CardSystem_Jksj_Icon1.cfg
UI_Beta2_CardSystem_Jksj_Icon2	UI_Beta2_CardSystem_Jksj_Icon2.cfg
UI_Beta2_CardSystem_Jksj_Icon3	UI_Beta2_CardSystem_Jksj_Icon3.cfg
UI_Beta2_CardSystem_Jksj_Icon4	UI_Beta2_CardSystem_Jksj_Icon4.cfg
UI_Beta2_CardSystem_Jksj_Icon5	UI_Beta2_CardSystem_Jksj_Icon5.cfg
UI_Card_ChengKaUpgrade_Icon1	UI_Card_ChengKaUpgrade_Icon1.cfg
UI_Card_ChengKaUpgrade_Icon2	UI_Card_ChengKaUpgrade_Icon2.cfg
UI_Card_ChengKaUpgrade_Icon3	UI_Card_ChengKaUpgrade_Icon3.cfg
UI_Card_ChengKaUpgrade_Icon4	UI_Card_ChengKaUpgrade_Icon4.cfg
UI_Card_ChengKaUpgrade_Icon5	UI_Card_ChengKaUpgrade_Icon5.cfg
UI_Card_ChengKaUpgrade_Upgrade	UI_Beta2_CardSystem_Jksj_Upgrade.cfg
Jk_Tiananniu	UI_GongFang_Add1.cfg
Jk_Tiananniu_1	UI_GongFang_Add1.cfg
Jk_Tiananniu_2	UI_GongFang_Add1.cfg
Exchange12_3	UI_Exchange12_3.cfg
Exchange12_2	UI_Exchange12_2.cfg
Exchange12_1	UI_Exchange12_1.cfg
UI_Zhizun	UI_RefreshForeignCard.cfg
Yiguojiangka	UI_Yiguojiangka.cfg
UI_Card_Img001	UI_CardInfo001.cfg
UI_Card_Img002	UI_CardInfo002.cfg
UI_Card_Img003	UI_CardInfo003.cfg
UI_ExchangeRaido3	RadioSelectChange.cfg
UI_XKTJ_qieye	RadioSelectChange.cfg
Tujian1	UI_Jiusi_Exchange_Card1.cfg
Tujian2	UI_Jiusi_Exchange_Card2.cfg
Tujian3	UI_Jiusi_Exchange_Card3.cfg
Tujian4	UI_Jiusi_Exchange_Card4.cfg
Tujian5	UI_Jiusi_Exchange_Card5.cfg
Tujian6	UI_Jiusi_Exchange_Card6.cfg
Tujian7	UI_Jiusi_Exchange_Card7.cfg
Tujian8	UI_Jiusi_Exchange_Card8.cfg
Tujian9	UI_Jiusi_Exchange_Card9.cfg
Tujian10	UI_Jiusi_Exchange_Card10.cfg
Tujian11	UI_Jiusi_Exchange_Card11.cfg
Tujian12	UI_Jiusi_Exchange_Card12.cfg
UI_XKTJ_qieye_Left	UI_Jiusi_Exchange_Left.cfg
UI_XKTJ_qieye_Right	UI_Jiusi_Exchange_Right.cfg
