widget	script
UI_Leijixiaofei	UI_Leijixiaofei.cfg
Drag	UI_frame.cfg
Close	UI_Close.cfg
Icon1	HuangZuanIcon.cfg
Icon2	HuangZuanIcon.cfg
Icon3	HuangZuanIcon.cfg
Icon4	HuangZuanIcon.cfg
Icon5	HuangZuanIcon.cfg
Icon6	HuangZuanIcon.cfg
Icon7	HuangZuanIcon.cfg
Icon8	HuangZuanIcon.cfg
Icon9	HuangZuanIcon.cfg
Icon10	HuangZuanIcon.cfg
Icon11	HuangZuanIcon.cfg
Icon12	HuangZuanIcon.cfg
Icon13	HuangZuanIcon.cfg
Icon14	HuangZuanIcon.cfg
Icon15	HuangZuanIcon.cfg
LeijichongzhiRaido	UI_LeijichongzhiRaido.cfg
Lingqu	UI_LeijixiaofeiLingqu.cfg
