widget	script
UI_ManorStair_JueSe	UI_PlayerInfoCanvas.cfg
EXP	UI_ManorStair_EXP.cfg
EXP_Input	UI_ManorStair_EXP_Input.cfg
Mail	UI_Mail.cfg
VIP	UI_VIP.cfg
TouXiang	UI_TouXiang.cfg
JunLing_Input	UI_ManorStair_JunLing.cfg
ChongZhi	UI_ChongZhi.cfg
System	UI_ConsolBar2System.cfg
Add	UI_JunLing_Add.cfg
List	UI_Ranking_List.cfg
Buff_food_animation	UI_ManorStair_Buff_food.cfg
Buff_wood_animation	UI_ManorStair_Buff_wood.cfg
Buff_iron_animation	UI_ManorStair_Buff_iron.cfg
Buff_horse_animation	UI_ManorStair_Buff_horse.cfg
Money_Input	Money_Input.cfg
Food_Input	Food_Input.cfg
Wood_Input	Wood_Input.cfg
Iron_Input	Iron_Input.cfg
Horse_Input	Horse_Input.cfg
JunShi	UI_JunShi.cfg
YuanBao_Input	UI_ManorStair_YuanBao_Input.cfg
LiJin_Input	UI_ManorStair_LiJin_Input.cfg
Country	UI_Country_Manor.cfg
Wei	UI_Wei.cfg
Shu	UI_Shu.cfg
Wu	UI_Wu.cfg
Huangzuan	Huangzuan.cfg
Qiyu_Smll	Qiyu_Smll.cfg
Buff_food_animation_2	UI_ManorStair_Buff_copperext.cfg
Buff_food_animation_1	UI_ManorStair_Buff_foodext.cfg
Buff_wood_animation_1	UI_ManorStair_Buff_woodext.cfg
Buff_iron_animation_1	UI_ManorStair_Buff_ironext.cfg
Buff_horse_animation_1	UI_ManorStair_Buff_horseext.cfg
UI_Zidong	UI_Zidong.cfg
Guozhan_Smll	Guozhan_Smll.cfg
